"","SiteIdentification","Easting","Northing","Spacing","YieldClass","elevation","StemsPerHa","Height","Thinning","SoilMoistureRegime","SoilNutrientRegime","plantingYear","Year","mean_dbh_cm","dbhSD_cm","mean_ba_cm","baSD_cm","lon","lat"
"192","461",172576,651283,2,14,78,1542.595541,25.2736543909348,"H","Very Moist","Very Poor",1963,"1985",20.1256985038193,4.23090284224833,3306.17543340957,1296.09815218757,-5.62099243648078,55.701508388666
"193","461",172576,651283,2,14,78,1542.595541,25.2736543909348,"H","Very Moist","Very Poor",1963,"1986",21.0927721363676,4.37699219943262,3628.0244798244,1392.40265780398,-5.62099243648078,55.701508388666
"194","461",172576,651283,2,14,78,1542.595541,25.2736543909348,"H","Very Moist","Very Poor",1963,"1987",22.0792876221745,4.61153665849476,3977.24289526848,1534.87051396092,-5.62099243648078,55.701508388666
"195","461",172576,651283,2,14,78,1542.595541,25.2736543909348,"H","Very Moist","Very Poor",1963,"1988",22.952166071157,4.85635477648113,4302.14131113839,1698.80000525215,-5.62099243648078,55.701508388666
"196","461",172576,651283,2,14,78,1542.595541,25.2736543909348,"H","Very Moist","Very Poor",1963,"1989",23.5301164605699,5.09273617649859,4529.55275593559,1853.72587906341,-5.62099243648078,55.701508388666
"197","461",172576,651283,2,14,78,1542.595541,25.2736543909348,"H","Very Moist","Very Poor",1963,"1990",24.0210479811589,5.25644625974788,4724.72717823395,1960.04848225485,-5.62099243648078,55.701508388666
"198","461",172576,651283,2,14,78,1542.595541,25.2736543909348,"H","Very Moist","Very Poor",1963,"1991",24.5142265606694,5.48187831015809,4929.62457381324,2095.94485165269,-5.62099243648078,55.701508388666
"199","461",172576,651283,2,14,78,1542.595541,25.2736543909348,"H","Very Moist","Very Poor",1963,"1992",25.1890908147369,5.67321016499409,5207.97100936944,2253.27311772209,-5.62099243648078,55.701508388666
"200","461",172576,651283,2,14,78,1542.595541,25.2736543909348,"H","Very Moist","Very Poor",1963,"1993",26.0721828262227,5.85242966654118,5577.92910250124,2427.72595333913,-5.62099243648078,55.701508388666
"201","461",172576,651283,2,14,78,1542.595541,25.2736543909348,"H","Very Moist","Very Poor",1963,"1994",26.9204908669672,5.89103481919244,5934.16290377987,2529.56799133456,-5.62099243648078,55.701508388666
"202","461",172576,651283,2,14,78,1542.595541,25.2736543909348,"H","Very Moist","Very Poor",1963,"1995",27.6256217873763,5.89718761719138,6236.75028713019,2596.36742731813,-5.62099243648078,55.701508388666
"203","461",172576,651283,2,14,78,1542.595541,25.2736543909348,"H","Very Moist","Very Poor",1963,"1996",28.2192750733938,6.01098177899015,6506.58970866011,2720.32397890514,-5.62099243648078,55.701508388666
