"","SiteIdentification","Easting","Northing","Spacing","YieldClass","elevation","StemsPerHa","Height","Thinning","SoilMoistureRegime","SoilNutrientRegime","plantingYear","Year","treeID","BAI_cm","dbh_cm","lon","lat"
"73","2013",320670,524315,1.7,22,320,1598.745274,23.4769784172662,"1","Fresh","Poor",1973,"1984","SS12",22.8183299208187,1.70449992666471,-3.22969852931465,54.6077438645613
"74","2013",320670,524315,1.7,22,320,1598.745274,23.4769784172662,"1","Fresh","Poor",1973,"1984","SS16",22.7882083304561,1.703374533096,-3.22969852931465,54.6077438645613
"75","2013",320670,524315,1.7,22,320,1598.745274,23.4769784172662,"1","Fresh","Poor",1973,"1984","SS17",NA,NA,-3.22969852931465,54.6077438645613
"76","2013",320670,524315,1.7,22,320,1598.745274,23.4769784172662,"1","Fresh","Poor",1973,"1984","SS20",20.4071826919298,1.61193151219275,-3.22969852931465,54.6077438645613
"77","2013",320670,524315,1.7,22,320,1598.745274,23.4769784172662,"1","Fresh","Poor",1973,"1984","SS22",226.680549778269,5.37232389194844,-3.22969852931465,54.6077438645613
"78","2013",320670,524315,1.7,22,320,1598.745274,23.4769784172662,"1","Fresh","Poor",1973,"1984","SS26",88.2876589222037,3.35278002039859,-3.22969852931465,54.6077438645613
"79","2013",320670,524315,1.7,22,320,1598.745274,23.4769784172662,"1","Fresh","Poor",1973,"1984","SS28",21.4041231382494,1.65083542486827,-3.22969852931465,54.6077438645613
"80","2013",320670,524315,1.7,22,320,1598.745274,23.4769784172662,"1","Fresh","Poor",1973,"1984","SS32",NA,NA,-3.22969852931465,54.6077438645613
"81","2013",320670,524315,1.7,22,320,1598.745274,23.4769784172662,"1","Fresh","Poor",1973,"1985","SS01",250.034026957196,5.6422797755099,-3.22969852931465,54.6077438645613
"82","2013",320670,524315,1.7,22,320,1598.745274,23.4769784172662,"1","Fresh","Poor",1973,"1985","SS07",NA,NA,-3.22969852931465,54.6077438645613
"83","2013",320670,524315,1.7,22,320,1598.745274,23.4769784172662,"1","Fresh","Poor",1973,"1985","SS12",59.366362215621,2.74931991590648,-3.22969852931465,54.6077438645613
"84","2013",320670,524315,1.7,22,320,1598.745274,23.4769784172662,"1","Fresh","Poor",1973,"1985","SS16",70.8568755762024,3.00362740698643,-3.22969852931465,54.6077438645613
"85","2013",320670,524315,1.7,22,320,1598.745274,23.4769784172662,"1","Fresh","Poor",1973,"1985","SS17",NA,NA,-3.22969852931465,54.6077438645613
"86","2013",320670,524315,1.7,22,320,1598.745274,23.4769784172662,"1","Fresh","Poor",1973,"1985","SS20",62.2273603797627,2.81478837570429,-3.22969852931465,54.6077438645613
