"SiteIdentification","Easting","Northing","Spacing","YieldClass","elevation","StemsPerHa","Height","Thinning","SoilMoistureRegime","SoilNutrientRegime","plantingYear","Year","treeID","BAI_cm","dbh_cm","lon","lat"
"2013",320670,524315,1.7,22,320,1598.745274,23.4769784172662,"1","Fresh","Poor",1973,"1982","SS01",157.181210831484,14.1467075081094,-3.22969852931465,54.6077438645613
"2013",320670,524315,1.7,22,320,1598.745274,23.4769784172662,"1","Fresh","Poor",1973,"1982","SS07",NA,NA,-3.22969852931465,54.6077438645613
"2013",320670,524315,1.7,22,320,1598.745274,23.4769784172662,"1","Fresh","Poor",1973,"1982","SS12",NA,NA,-3.22969852931465,54.6077438645613
"2013",320670,524315,1.7,22,320,1598.745274,23.4769784172662,"1","Fresh","Poor",1973,"1982","SS16",NA,NA,-3.22969852931465,54.6077438645613
"2013",320670,524315,1.7,22,320,1598.745274,23.4769784172662,"1","Fresh","Poor",1973,"1982","SS17",NA,NA,-3.22969852931465,54.6077438645613
"2013",320670,524315,1.7,22,320,1598.745274,23.4769784172662,"1","Fresh","Poor",1973,"1982","SS20",NA,NA,-3.22969852931465,54.6077438645613
"2013",320670,524315,1.7,22,320,1598.745274,23.4769784172662,"1","Fresh","Poor",1973,"1982","SS22",151.061723455979,13.868588969322,-3.22969852931465,54.6077438645613
"2013",320670,524315,1.7,22,320,1598.745274,23.4769784172662,"1","Fresh","Poor",1973,"1982","SS26",31.6905855034473,6.35214189536097,-3.22969852931465,54.6077438645613
"2013",320670,524315,1.7,22,320,1598.745274,23.4769784172662,"1","Fresh","Poor",1973,"1982","SS28",NA,NA,-3.22969852931465,54.6077438645613
"2013",320670,524315,1.7,22,320,1598.745274,23.4769784172662,"1","Fresh","Poor",1973,"1982","SS32",NA,NA,-3.22969852931465,54.6077438645613
"2013",320670,524315,1.7,22,320,1598.745274,23.4769784172662,"1","Fresh","Poor",1973,"1983","SS01",248.314122262801,17.7809830994014,-3.22969852931465,54.6077438645613
"2013",320670,524315,1.7,22,320,1598.745274,23.4769784172662,"1","Fresh","Poor",1973,"1983","SS07",NA,NA,-3.22969852931465,54.6077438645613
